code	store_id	order_number	session	username	shipmode	sku	UPC_No	quantity	price	subtotal	shipping	taxable	size	color	options	order_date	update_date	status	parent	affiliate	campaign	description
WBA32284-1		WBA32284	EQ8UE42k	U00265		WBSG204-590-4		1	499.95	499.95					WBSG204-590-4	20081023	2008-10-24 09:05:13	partial				590-4 TCR ROD 4PC 5WT
WBA32285-1		WBA32285	MYL2h7V4	U00266		WBSFWBE-L-07-50-12		1	399.95	399.95					L, 07	20081023	2008-10-24 08:41:58	partial				EXSTREAM BOOTFOOTS XL 12 LUG
WBA32286-1		WBA32286	eHLytxfD	U00267		WBSFASC-4140		13	19.95	259.35					WBSFASC-4140	20081024	2008-10-24 09:11:30	canceled				SUNCLAVA TAN
WBA32287-1		WBA32287	XUxsyPe4	U00268		WBSG204-9129-4		1	699.00	699.00					WBSG204-9129-4	20081024	2008-10-24 13:08:19	pending				9129-4 TCR 2HD ROD 4PC 9WT 12'9''L
WBA32288-1		WBA32288	QPKMKKKi	U00269		WBSFLGT1080-35-40		1	99.95	99.95					35, 40	20081025	2008-10-25 13:58:33	pending				GUIDE TOP (NEW FOR FALL 2008), Black/Coal, L
WBA32289-1		WBA32289	pxWUeXGK	U00270		WBORSI01EH-00		1	49.95	49.95					WBORSI01EH-00	20081027	2008-10-27 08:28:50	pending				FLY TYING GUIDE, Hardcover
WBA32290-1		WBA32290	pxWUeXGK	U00271		WBOR74R2-00-00		1	24.95	24.95					WBOR74R2-00-00	20081027	2008-10-27 08:49:30	pending				THE ORVIS STORY - SOFT COVER
WBA32291-1		WBA32291	pxWUeXGK	U00272		WBOR42Y7-00-00		1	29.95	29.95					WBOR42Y7-00-00	20081027	2008-10-27 08:55:27	pending				THE NEW FLY FISHING BASICS
WBA32292-1		WBA32292	pxWUeXGK	U00273		WBOR09R0-00-00		1	26.95	26.95					WBOR09R0-00-00	20081027	2008-10-27 09:06:58	pending				TROUT BUM DIARIES II NEW ZEAL
WBA32293-1		WBA32293	pxWUeXGK	U00274		WBSFWBE-L-07-20-07		1	399.95	399.95					L, 07	20081027	2008-10-27 09:36:16	pending				EXSTREAM BOOTFOOTS S 7 LUG
WBA32294-1		WBA32294	tTAI8bB3	U00275		WBSFWWG10-805-20		1	329.95	329.95					WBSFWWG10-805-20	20081028	2008-10-28 11:41:02	pending				WOMEN'S GORE-TEX STOCKINGFOOT S
WBA32295-1		WBA32295	jdLVp2Ch	U00276		WBSFHFS10-72000		1	19.95	19.95					WBSFHFS10-72000	20081028	2008-10-28 13:34:56	pending				FORESTSERVICE CAP BROWN
WBA32296-1		WBA32296	7qbxbgiG	U00277		WBSFCTR10-805-50		1	48.95	48.95					WBSFCTR10-805-50	20081030	2008-10-30 09:23:41	partial				3XDRY BLUEWATERSHIRT BLUE XL
WBA32296-2		WBA32296	7qbxbgiG	U00277		WBSFCVG1070750		1	41.95	41.95					WBSFCVG1070750	20081030	2008-10-30 09:23:41	partial				3XDRY RIVERTEK SHIRT LT KHAKI XL
WBA32296-3		WBA32296	7qbxbgiG	U00277		WBSFCKS10-821-50		1	34.95	34.95					WBSFCKS10-821-50	20081030	2008-10-30 09:23:41	partial				3XDRY GUIDESHIRT GREEN XL
WBA32297-1		WBA32297	Ivo3THJD	U00278		WBSFCPS10-705-40		1	27.95	27.95					WBSFCPS10-705-40	20081030	2008-10-30 10:41:35	pending				3XDRY TROUT POLO BLUE L
WBA32298-1		WBA32298	PRykVq5R	U00279		WBSFCSP10-717-40		1	41.95	41.95					WBSFCSP10-717-40	20081102	2008-11-02 11:12:02	pending				3XDRY SUPERLIGHT PANT DK KHAKI L
WBA32299-1		WBA32299	bLFTYYWE	U00280		WBSFLMT10-811-50		1	49.95	49.95					WBSFLMT10-811-50	20081102	2008-11-03 08:03:47	partial				WADERWICK FLEECE TOP BLACK XL
WBA32300-1		WBA32300	3nr2Bv2x	U00281		WBSFLMT10-811-40		2	49.95	99.90					WBSFLMT10-811-40	20081103	2008-11-03 10:28:36	pending				WADERWICK FLEECE TOP BLACK LG
WBA32301-1		WBA32301	4NdSZGMz	U00282		WBSFOWV10-723-50		1	149.95	149.95					WBSFOWV10-723-50	20081103	2008-11-03 12:11:48	pending				WIND STOPPER DL VEST LODEN XL
WBA32302-1		WBA32302	3ZCXSZia	U00283		WBSFCWP10-807-20		1	41.95	41.95					WBSFCWP10-807-20	20081104	2008-11-04 21:19:56	pending				W'S SUPERLIGHT ZO PANT LT KHAKIS
